"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"34077","prot-a-288","Uncharacterized protein C17orf78",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34078","eqtl-a-ENSG00000197162","ENSG00000197162",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",30935,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,14625,NA,NA,NA,0,NA
"34079","prot-a-1250","Glycerol-3-phosphate dehydrogenase 1-like protein",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34080","eqtl-a-ENSG00000229417","ENSG00000229417",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",17261,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17846,NA,NA,NA,0,NA
"34081","prot-c-2623_54_4","HPV E7 Type 16",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Protein E7_HPV16; chr=NA; start=NA; end=NA; entrez=1489079; uniprot=P03129",1,501428,NA,NA,NA,0,NA
"34082","eqtl-a-ENSG00000134287","ENSG00000134287",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17505,NA,NA,NA,0,NA
"34083","ukb-e-100024_CSA","Calcium",1469,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"South Asian","NA",1469,"HG19/GRCh37",0,"Continuous","NA","NA","NA",1,9797409,NA,NA,NA,0,NA
"34084","eqtl-a-ENSG00000139508","ENSG00000139508",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18974,NA,NA,NA,0,NA
"34085","prot-a-3204","Vacuolar protein sorting-associated protein 4A",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34086","ukb-e-recode403_CSA","NA",379,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"South Asian","NA",8876,"HG19/GRCh37",8497,"Binary","NA","NA","NA",1,9804225,NA,NA,NA,0,NA
"34087","eqtl-a-ENSG00000173960","ENSG00000173960",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17881,NA,NA,NA,0,NA
"34088","ubm-a-2923","a2009s rh S subparietal area",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",8411,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34089","prot-c-4468_21_2","SPHK2",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Sphingosine kinase 2; chr=19; start=48619291; end=48630717; entrez=56848; uniprot=Q9NRA0",1,501428,NA,NA,NA,0,NA
"34090","ukb-e-41200_p834_CSA","Operative procedures - main OPCS4",349,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"South Asian","NA",8876,"HG19/GRCh37",8527,"Binary","NA","NA","NA",1,9801262,NA,NA,NA,0,NA
"34091","prot-a-2197","Protocadherin-9",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34092","ubm-a-269","IDP dMRI TBSS MD Superior corona radiata L",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",7532,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34093","ebi-a-GCST005540","Sarcoidosis (Lofgren's syndrome)",345,"public",2016,"Rivera NV","NA","NA",26651848,"European","logOR",2370,"HG19/GRCh37",2025,"NA","NA","NA","beta+se converted from OR+CI; ",1,102196,NA,NA,NA,0,NA
"34094","ukb-e-20110_p11_CSA","Illnesses of mother",245,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"South Asian","NA",7270,"HG19/GRCh37",7025,"Binary","NA","NA","NA",1,9748385,NA,NA,NA,0,NA
"34095","ubm-a-597","IDP dMRI TBSS ISOVF Anterior limb of internal capsule L",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",7532,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34096","prot-a-3241","DNA repair protein XRCC1",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
